text_length,url_count,followers
0.4594595,0.0,0.0079465
0.2905405,0.0,0.0037866
0.2331081,0.0,0.0039501
0.4527027,0.0,0.0022616
0.2871622,0.0,0.016557
0.2297297,0.6,0.0101496
0.4493243,0.0,0.0027653
0.1081081,0.0,0.0424452
0.1385135,0.0,0.003225
0.3074324,0.0,0.001769
0.1858108,0.0,0.0014743
0.2331081,0.0,0.028473
0.1385135,0.0,0.003408
0.3344595,0.0,0.0183394
0.3614865,0.0,0.0165212
0.1317568,0.0,0.0213772
0.4459459,0.0,0.0016858
0.3074324,0.0,0.019937
0.3040541,0.2,0.0091927
0.2871622,0.0,0.0165672
0.1351351,0.0,0.0295515
0.1959459,0.0,0.0839063
0.2668919,0.0,0.0276137
0.4425676,0.0,0.0014772
0.1858108,0.0,0.0086273
0.3378378,0.0,0.0203471
0.4628378,0.0,0.0013054
0.2972973,0.0,0.0062424
0.402027,0.2,0.0009235
0.3310811,0.0,0.0119295
0.1216216,0.0,0.0005682
0.4087838,0.0,0.0004294
0.0574324,0.0,0.002776
0.1858108,0.0,0.0247644
0.1114865,0.0,0.0186168
0.3412162,0.0,0.0733737
0.4594595,0.0,0.0008548
0.4425676,0.2,0.0953443
0.1216216,0.0,0.012208
0.3412162,0.2,0.0084345
0.4222973,0.2,0.212173
0.1216216,0.2,0.0036206
0.3614865,0.0,0.0029127
0.4628378,0.0,0.0014878
0.3243243,0.0,0.0896308
0.2331081,0.0,0.0115529
0.1959459,0.2,0.0074665
0.3986486,0.0,0.0165768
0.4155405,0.2,0.2122126
0.1790541,0.0,0.0043919
0.222973,0.0,0.0026748
0.1385135,0.0,0.0006293
0.3344595,0.0,0.0050359
0.0337838,0.0,0.0115557
0.347973,0.0,0.2185646
0.4493243,0.0,0.0318278
0.0608108,0.0,0.0047097
0.4560811,0.0,0.0039789
0.4493243,0.0,0.0017588
0.2837838,0.0,0.0202242
0.2837838,0.0,0.0021696
0.4527027,0.0,0.02586
0.4155405,0.0,0.0030317
0.1858108,0.0,0.0020796
0.1959459,0.0,0.0038519
0.4628378,0.0,0.0002637
0.1351351,0.0,0.0433305
0.0641892,0.0,0.0011086
0.1452703,0.0,0.0926207
0.4087838,0.0,0.0024743
0.3243243,0.0,0.0041715
0.2871622,0.0,0.0008336
0.2736486,0.0,0.1781164
0.2364865,0.0,0.014881
0.2162162,0.2,0.0230788
0.3716216,0.0,0.0458049
0.4594595,0.2,5.13e-05
0.0777027,0.0,0.0272533
0.1216216,0.0,0.0165783
0.1790541,0.2,0.0248723
0.4493243,0.0,0.0017577
0.3209459,0.0,0.0048233
0.0675676,0.0,0.0052532
0.277027,0.2,0.023081
0.3817568,0.2,0.3074284
0.3277027,0.0,0.009761
0.0878378,0.0,0.280922
0.25,0.0,0.0042003
0.0608108,0.0,0.0058124
